name,start,end,duration,streamId,correlationId
elementwise_kernel,1970-01-01 00:00:07.621703052,1970-01-01 00:00:07.621704844,4.977777777777778e-10,7,4952
fmha_cutlassF_f32_aligned_64x64_rf_sm75,1970-01-01 00:00:07.622133131,1970-01-01 00:00:07.622148779,4.3466666666666665e-09,7,5063
gemmSN_NN_kernel,1970-01-01 00:00:07.622519818,1970-01-01 00:00:07.622538282,5.128888888888889e-09,7,5149
reduce_kernel,1970-01-01 00:00:07.622693866,1970-01-01 00:00:07.622695594,4.8e-10,7,5177
vectorized_layer_norm_kernel,1970-01-01 00:00:07.622885449,1970-01-01 00:00:07.622889737,1.1911111111111112e-09,7,5233
elementwise_kernel,1970-01-01 00:00:07.623163816,1970-01-01 00:00:07.623205512,1.1582222222222222e-08,7,5288
elementwise_kernel,1970-01-01 00:00:07.623306824,1970-01-01 00:00:07.623308488,4.6222222222222226e-10,7,5310
elementwise_kernel,1970-01-01 00:00:07.623433672,1970-01-01 00:00:07.623435336,4.6222222222222226e-10,7,5338
elementwise_kernel,1970-01-01 00:00:07.623492584,1970-01-01 00:00:07.623493896,3.644444444444445e-10,7,5354
reduce_kernel,1970-01-01 00:00:07.623548488,1970-01-01 00:00:07.623549896,3.9111111111111107e-10,7,5370
elementwise_kernel,1970-01-01 00:00:07.623611719,1970-01-01 00:00:07.623612999,3.5555555555555555e-10,7,5386
elementwise_kernel,1970-01-01 00:00:07.623666439,1970-01-01 00:00:07.623667943,4.1777777777777775e-10,7,5402
elementwise_kernel,1970-01-01 00:00:07.623727463,1970-01-01 00:00:07.623728775,3.644444444444445e-10,7,5418
cudaMemsetAsync_v3020,1970-01-01 00:00:07.623786471,1970-01-01 00:00:07.623787911,4e-10,7,5434
scal_kernel,1970-01-01 00:00:07.623970759,1970-01-01 00:00:07.623972039,3.5555555555555555e-10,7,5475
sgemm_largek_lds64,1970-01-01 00:00:07.623980359,1970-01-01 00:00:07.624032487,1.448e-08,7,5478
globalKernel,1970-01-01 00:00:07.624033095,1970-01-01 00:00:07.624035335,6.222222222222223e-10,7,5481
reduce_kernel,1970-01-01 00:00:07.624177670,1970-01-01 00:00:07.624179622,5.422222222222222e-10,7,5509
vectorized_layer_norm_kernel,1970-01-01 00:00:07.624403846,1970-01-01 00:00:07.624408070,1.1733333333333332e-09,7,5565
gemmSN_NN_kernel,1970-01-01 00:00:07.624647877,1970-01-01 00:00:07.624679653,8.826666666666668e-09,7,5620
elementwise_kernel,1970-01-01 00:00:07.625428611,1970-01-01 00:00:07.625430787,6.044444444444445e-10,7,5778
elementwise_kernel,1970-01-01 00:00:07.625586819,1970-01-01 00:00:07.625588867,5.688888888888889e-10,7,5825
elementwise_kernel,1970-01-01 00:00:07.625739331,1970-01-01 00:00:07.625741123,4.977777777777778e-10,7,5872
fmha_cutlassF_f32_aligned_64x64_rf_sm75,1970-01-01 00:00:07.626131746,1970-01-01 00:00:07.626147426,4.355555555555555e-09,7,5983
gemmSN_NN_kernel,1970-01-01 00:00:07.626500673,1970-01-01 00:00:07.626518849,5.0488888888888885e-09,7,6069
reduce_kernel,1970-01-01 00:00:07.626667809,1970-01-01 00:00:07.626669441,4.533333333333333e-10,7,6097
vectorized_layer_norm_kernel,1970-01-01 00:00:07.626848320,1970-01-01 00:00:07.626852608,1.1911111111111112e-09,7,6153
elementwise_kernel,1970-01-01 00:00:07.627105024,1970-01-01 00:00:07.627148736,1.2142222222222222e-08,7,6208
elementwise_kernel,1970-01-01 00:00:07.627241791,1970-01-01 00:00:07.627243455,4.6222222222222226e-10,7,6230
elementwise_kernel,1970-01-01 00:00:07.627361599,1970-01-01 00:00:07.627363295,4.711111111111111e-10,7,6258
elementwise_kernel,1970-01-01 00:00:07.627417215,1970-01-01 00:00:07.627418559,3.7333333333333334e-10,7,6274
reduce_kernel,1970-01-01 00:00:07.627475775,1970-01-01 00:00:07.627477215,4e-10,7,6290
elementwise_kernel,1970-01-01 00:00:07.627530911,1970-01-01 00:00:07.627532191,3.5555555555555555e-10,7,6306
elementwise_kernel,1970-01-01 00:00:07.627582015,1970-01-01 00:00:07.627583519,4.1777777777777775e-10,7,6322
elementwise_kernel,1970-01-01 00:00:07.627644798,1970-01-01 00:00:07.627646142,3.7333333333333334e-10,7,6338
cudaMemsetAsync_v3020,1970-01-01 00:00:07.627696382,1970-01-01 00:00:07.627697886,4.1777777777777775e-10,7,6354
scal_kernel,1970-01-01 00:00:07.627879518,1970-01-01 00:00:07.627880766,3.4666666666666666e-10,7,6395
sgemm_largek_lds64,1970-01-01 00:00:07.627888830,1970-01-01 00:00:07.627941534,1.464e-08,7,6398
globalKernel,1970-01-01 00:00:07.627942142,1970-01-01 00:00:07.627944414,6.311111111111111e-10,7,6401
reduce_kernel,1970-01-01 00:00:07.628087741,1970-01-01 00:00:07.628089789,5.688888888888889e-10,7,6429
vectorized_layer_norm_kernel,1970-01-01 00:00:07.628311453,1970-01-01 00:00:07.628315709,1.1822222222222224e-09,7,6485
gemmSN_NN_kernel,1970-01-01 00:00:07.628560284,1970-01-01 00:00:07.628591772,8.746666666666666e-09,7,6540
elementwise_kernel,1970-01-01 00:00:07.629412026,1970-01-01 00:00:07.629414202,6.044444444444445e-10,7,6698
elementwise_kernel,1970-01-01 00:00:07.629567322,1970-01-01 00:00:07.629569370,5.688888888888889e-10,7,6745
elementwise_kernel,1970-01-01 00:00:07.629720634,1970-01-01 00:00:07.629722458,5.066666666666667e-10,7,6792
fmha_cutlassF_f32_aligned_64x64_rf_sm75,1970-01-01 00:00:07.630115833,1970-01-01 00:00:07.630131481,4.3466666666666665e-09,7,6903
gemmSN_NN_kernel,1970-01-01 00:00:07.630481272,1970-01-01 00:00:07.630499480,5.057777777777777e-09,7,6989
reduce_kernel,1970-01-01 00:00:07.630648440,1970-01-01 00:00:07.630650136,4.711111111111111e-10,7,7017
vectorized_layer_norm_kernel,1970-01-01 00:00:07.630830519,1970-01-01 00:00:07.630834871,1.208888888888889e-09,7,7073
elementwise_kernel,1970-01-01 00:00:07.631080119,1970-01-01 00:00:07.631122231,1.1697777777777778e-08,7,7128
elementwise_kernel,1970-01-01 00:00:07.631215222,1970-01-01 00:00:07.631216822,4.4444444444444443e-10,7,7150
elementwise_kernel,1970-01-01 00:00:07.631336310,1970-01-01 00:00:07.631337942,4.533333333333333e-10,7,7178
elementwise_kernel,1970-01-01 00:00:07.631392278,1970-01-01 00:00:07.631393590,3.644444444444445e-10,7,7194
reduce_kernel,1970-01-01 00:00:07.631454262,1970-01-01 00:00:07.631455638,3.8222222222222223e-10,7,7210
elementwise_kernel,1970-01-01 00:00:07.631509622,1970-01-01 00:00:07.631510934,3.644444444444445e-10,7,7226
elementwise_kernel,1970-01-01 00:00:07.631561398,1970-01-01 00:00:07.631562838,4e-10,7,7242
elementwise_kernel,1970-01-01 00:00:07.631622773,1970-01-01 00:00:07.631624117,3.7333333333333334e-10,7,7258
cudaMemsetAsync_v3020,1970-01-01 00:00:07.631674453,1970-01-01 00:00:07.631675893,4e-10,7,7274
scal_kernel,1970-01-01 00:00:07.631852469,1970-01-01 00:00:07.631853749,3.5555555555555555e-10,7,7315
sgemm_largek_lds64,1970-01-01 00:00:07.631861301,1970-01-01 00:00:07.631913237,1.4426666666666666e-08,7,7318
globalKernel,1970-01-01 00:00:07.631913909,1970-01-01 00:00:07.631916213,6.4e-10,7,7321
reduce_kernel,1970-01-01 00:00:07.632050933,1970-01-01 00:00:07.632052885,5.422222222222222e-10,7,7349
vectorized_layer_norm_kernel,1970-01-01 00:00:07.632267444,1970-01-01 00:00:07.632271764,1.2e-09,7,7405
gemmSN_NN_kernel,1970-01-01 00:00:07.632508595,1970-01-01 00:00:07.632540435,8.844444444444445e-09,7,7460
elementwise_kernel,1970-01-01 00:00:07.633339314,1970-01-01 00:00:07.633341490,6.044444444444445e-10,7,7618
elementwise_kernel,1970-01-01 00:00:07.633492081,1970-01-01 00:00:07.633494161,5.777777777777778e-10,7,7665
elementwise_kernel,1970-01-01 00:00:07.633644145,1970-01-01 00:00:07.633645937,4.977777777777778e-10,7,7712
fmha_cutlassF_f32_aligned_64x64_rf_sm75,1970-01-01 00:00:07.634039792,1970-01-01 00:00:07.634055376,4.3288888888888886e-09,7,7823
gemmSN_NN_kernel,1970-01-01 00:00:07.634413263,1970-01-01 00:00:07.634431919,5.182222222222222e-09,7,7909
reduce_kernel,1970-01-01 00:00:07.634581039,1970-01-01 00:00:07.634582639,4.4444444444444443e-10,7,7937
vectorized_layer_norm_kernel,1970-01-01 00:00:07.634759342,1970-01-01 00:00:07.634763630,1.1911111111111112e-09,7,7993
elementwise_kernel,1970-01-01 00:00:07.634985902,1970-01-01 00:00:07.635028686,1.1884444444444446e-08,7,8048
elementwise_kernel,1970-01-01 00:00:07.635149230,1970-01-01 00:00:07.635150894,4.6222222222222226e-10,7,8070
elementwise_kernel,1970-01-01 00:00:07.635263277,1970-01-01 00:00:07.635264909,4.533333333333333e-10,7,8098
elementwise_kernel,1970-01-01 00:00:07.635322989,1970-01-01 00:00:07.635324269,3.5555555555555555e-10,7,8114
reduce_kernel,1970-01-01 00:00:07.635378733,1970-01-01 00:00:07.635380141,3.9111111111111107e-10,7,8130
elementwise_kernel,1970-01-01 00:00:07.635433965,1970-01-01 00:00:07.635435277,3.644444444444445e-10,7,8146
elementwise_kernel,1970-01-01 00:00:07.635490733,1970-01-01 00:00:07.635492237,4.1777777777777775e-10,7,8162
elementwise_kernel,1970-01-01 00:00:07.635547117,1970-01-01 00:00:07.635548429,3.644444444444445e-10,7,8178
cudaMemsetAsync_v3020,1970-01-01 00:00:07.635599597,1970-01-01 00:00:07.635601037,4e-10,7,8194
scal_kernel,1970-01-01 00:00:07.635788204,1970-01-01 00:00:07.635789452,3.4666666666666666e-10,7,8235
sgemm_largek_lds64,1970-01-01 00:00:07.635804780,1970-01-01 00:00:07.635856972,1.4497777777777777e-08,7,8238
globalKernel,1970-01-01 00:00:07.635857548,1970-01-01 00:00:07.635859788,6.222222222222223e-10,7,8241
reduce_kernel,1970-01-01 00:00:07.635975660,1970-01-01 00:00:07.635977644,5.511111111111111e-10,7,8269
vectorized_layer_norm_kernel,1970-01-01 00:00:07.636201195,1970-01-01 00:00:07.636205483,1.1911111111111112e-09,7,8325
gemmSN_NN_kernel,1970-01-01 00:00:07.636435499,1970-01-01 00:00:07.636467243,8.817777777777778e-09,7,8380
elementwise_kernel,1970-01-01 00:00:07.637208137,1970-01-01 00:00:07.637210281,5.955555555555556e-10,7,8538
elementwise_kernel,1970-01-01 00:00:07.637364617,1970-01-01 00:00:07.637366665,5.688888888888889e-10,7,8585
elementwise_kernel,1970-01-01 00:00:07.637514120,1970-01-01 00:00:07.637515912,4.977777777777778e-10,7,8632
fmha_cutlassF_f32_aligned_64x64_rf_sm75,1970-01-01 00:00:07.637889959,1970-01-01 00:00:07.637905479,4.311111111111111e-09,7,8743
gemmSN_NN_kernel,1970-01-01 00:00:07.638283431,1970-01-01 00:00:07.638301670,5.0663888888888885e-09,7,8829
reduce_kernel,1970-01-01 00:00:07.638448614,1970-01-01 00:00:07.638450310,4.711111111111111e-10,7,8857
vectorized_layer_norm_kernel,1970-01-01 00:00:07.638624070,1970-01-01 00:00:07.638628358,1.1911111111111112e-09,7,8913
elementwise_kernel,1970-01-01 00:00:07.638846949,1970-01-01 00:00:07.638889541,1.1831111111111111e-08,7,8968
elementwise_kernel,1970-01-01 00:00:07.638975013,1970-01-01 00:00:07.638976645,4.533333333333333e-10,7,8990
elementwise_kernel,1970-01-01 00:00:07.639120229,1970-01-01 00:00:07.639121861,4.533333333333333e-10,7,9018
elementwise_kernel,1970-01-01 00:00:07.639191844,1970-01-01 00:00:07.639193124,3.5555555555555555e-10,7,9034
reduce_kernel,1970-01-01 00:00:07.639246500,1970-01-01 00:00:07.639247876,3.8222222222222223e-10,7,9050
elementwise_kernel,1970-01-01 00:00:07.639304868,1970-01-01 00:00:07.639306148,3.5555555555555555e-10,7,9066
elementwise_kernel,1970-01-01 00:00:07.639356260,1970-01-01 00:00:07.639357764,4.1777777777777775e-10,7,9082
elementwise_kernel,1970-01-01 00:00:07.639412196,1970-01-01 00:00:07.639413540,3.7333333333333334e-10,7,9098
cudaMemsetAsync_v3020,1970-01-01 00:00:07.639468516,1970-01-01 00:00:07.639469956,4e-10,7,9114
scal_kernel,1970-01-01 00:00:07.639647075,1970-01-01 00:00:07.639648323,3.4666666666666666e-10,7,9155
sgemm_largek_lds64,1970-01-01 00:00:07.639655907,1970-01-01 00:00:07.639708163,1.4515555555555556e-08,7,9158
globalKernel,1970-01-01 00:00:07.639708835,1970-01-01 00:00:07.639711139,6.4e-10,7,9161
reduce_kernel,1970-01-01 00:00:07.639827363,1970-01-01 00:00:07.639829347,5.511111111111111e-10,7,9189
vectorized_layer_norm_kernel,1970-01-01 00:00:07.640043235,1970-01-01 00:00:07.640047555,1.2e-09,7,9245
scal_64addr_kernel,1970-01-01 00:00:07.642938588,1970-01-01 00:00:07.642944348,1.6e-09,7,9324
CatArrayBatchedCopy,1970-01-01 00:00:07.642947484,1970-01-01 00:00:07.644206009,3.495902777777778e-07,7,9327
reduce_kernel,1970-01-01 00:00:07.645118103,1970-01-01 00:00:07.645119543,4e-10,7,9373
CatArrayBatchedCopy,1970-01-01 00:00:07.654864897,1970-01-01 00:00:07.654867489,7.2e-10,7,9393
vectorized_layer_norm_kernel,1970-01-01 00:00:07.655102977,1970-01-01 00:00:07.655104481,4.1777777777777775e-10,7,9424
elementwise_kernel,1970-01-01 00:00:07.667483013,1970-01-01 00:00:07.667497861,4.1244444444444445e-09,7,9524
elementwise_kernel,1970-01-01 00:00:07.667616229,1970-01-01 00:00:07.667617701,4.088888888888889e-10,7,9540
elementwise_kernel,1970-01-01 00:00:07.668405059,1970-01-01 00:00:07.668406403,3.7333333333333334e-10,7,9559
elementwise_kernel,1970-01-01 00:00:07.668480483,1970-01-01 00:00:07.668481923,4e-10,7,9578
elementwise_kernel,1970-01-01 00:00:07.668570786,1970-01-01 00:00:07.668572098,3.644444444444445e-10,7,9594
CatArrayBatchedCopy,1970-01-01 00:00:07.668784418,1970-01-01 00:00:07.668786594,6.044444444444445e-10,7,9638
elementwise_kernel,1970-01-01 00:00:07.671681244,1970-01-01 00:00:07.671682332,3.0222222222222225e-10,7,9666
elementwise_kernel,1970-01-01 00:00:07.671805915,1970-01-01 00:00:07.671806939,2.8444444444444446e-10,7,9697
gemv2T,1970-01-01 00:00:07.694355593,1970-01-01 00:00:07.694356905,3.644444444444445e-10,7,9719
elementwise_kernel,1970-01-01 00:00:07.694724392,1970-01-01 00:00:07.694725448,2.933333333333333e-10,7,9775
elementwise_kernel,1970-01-01 00:00:07.694890887,1970-01-01 00:00:07.694892135,3.4666666666666666e-10,7,9809
gemv2T,1970-01-01 00:00:07.695240935,1970-01-01 00:00:07.695242247,3.644444444444445e-10,7,9886
elementwise_kernel,1970-01-01 00:00:07.729638169,1970-01-01 00:00:07.729639513,3.7333333333333334e-10,7,9906
reduce_kernel,1970-01-01 00:00:07.730036248,1970-01-01 00:00:07.730038072,5.066666666666667e-10,7,9927
elementwise_kernel,1970-01-01 00:00:07.751109641,1970-01-01 00:00:07.751112553,8.088888888888888e-10,7,9965
elementwise_kernel,1970-01-01 00:00:07.751277033,1970-01-01 00:00:07.751278377,3.7333333333333334e-10,7,9981
indexSelectSmallIndex,1970-01-01 00:00:07.751616744,1970-01-01 00:00:07.751618408,4.6222222222222226e-10,7,10036
elementwise_kernel,1970-01-01 00:00:07.783395681,1970-01-01 00:00:07.783398145,6.844444444444444e-10,7,10107
DeviceScanInitKernel,1970-01-01 00:00:07.783977375,1970-01-01 00:00:07.783978431,2.933333333333333e-10,7,10193
DeviceScanKernel,1970-01-01 00:00:07.784019999,1970-01-01 00:00:07.784022111,5.866666666666666e-10,7,10203
vectorized_layer_norm_kernel,1970-01-01 00:00:07.784111455,1970-01-01 00:00:07.784112767,3.644444444444445e-10,7,10225
elementwise_kernel,1970-01-01 00:00:07.784191839,1970-01-01 00:00:07.784193151,3.644444444444445e-10,7,10241
indexSelectSmallIndex,1970-01-01 00:00:07.784251231,1970-01-01 00:00:07.784252575,3.7333333333333334e-10,7,10253
indexSelectSmallIndex,1970-01-01 00:00:07.784903645,1970-01-01 00:00:07.784906077,6.755555555555556e-10,7,10374
indexSelectSmallIndex,1970-01-01 00:00:07.785151709,1970-01-01 00:00:07.785153821,5.866666666666666e-10,7,10435
reduce_kernel,1970-01-01 00:00:07.785283932,1970-01-01 00:00:07.785285436,4.1777777777777775e-10,7,10466
elementwise_kernel,1970-01-01 00:00:07.785430332,1970-01-01 00:00:07.785431644,3.644444444444445e-10,7,10488
reduce_kernel,1970-01-01 00:00:07.785527580,1970-01-01 00:00:07.785532476,1.36e-09,7,10514
vectorized_layer_norm_kernel,1970-01-01 00:00:07.785951675,1970-01-01 00:00:07.785956027,1.208888888888889e-09,7,10600
kernel,1970-01-01 00:00:07.799837308,1970-01-01 00:00:07.799867740,8.453333333333334e-09,7,10660
CatArrayBatchedCopy,1970-01-01 00:00:07.802637173,1970-01-01 00:00:07.802640565,9.422222222222222e-10,7,10797
CatArrayBatchedCopy,1970-01-01 00:00:07.802734965,1970-01-01 00:00:07.802738133,8.8e-10,7,10814
fmha_cutlassF_f32_aligned_64x64_rf_sm75,1970-01-01 00:00:07.803396532,1970-01-01 00:00:07.803411796,4.24e-09,7,10916
kernel,1970-01-01 00:00:07.803826163,1970-01-01 00:00:07.803837843,3.2444444444444443e-09,7,11003
reduce_kernel,1970-01-01 00:00:07.804041522,1970-01-01 00:00:07.804043026,4.1777777777777775e-10,7,11031
vectorized_layer_norm_kernel,1970-01-01 00:00:07.804240242,1970-01-01 00:00:07.804244370,1.1466666666666666e-09,7,11087
gemv2T,1970-01-01 00:00:07.804532401,1970-01-01 00:00:07.804570769,1.0657777777777778e-08,7,11143
elementwise_kernel,1970-01-01 00:00:07.804688049,1970-01-01 00:00:07.804689393,3.7333333333333334e-10,7,11165
elementwise_kernel,1970-01-01 00:00:07.804816305,1970-01-01 00:00:07.804817617,3.644444444444445e-10,7,11193
elementwise_kernel,1970-01-01 00:00:07.804879632,1970-01-01 00:00:07.804880912,3.5555555555555555e-10,7,11209
reduce_kernel,1970-01-01 00:00:07.804935472,1970-01-01 00:00:07.804936912,4e-10,7,11225
elementwise_kernel,1970-01-01 00:00:07.805006512,1970-01-01 00:00:07.805007792,3.5555555555555555e-10,7,11241
elementwise_kernel,1970-01-01 00:00:07.805074032,1970-01-01 00:00:07.805075472,4e-10,7,11257
elementwise_kernel,1970-01-01 00:00:07.805138288,1970-01-01 00:00:07.805139600,3.644444444444445e-10,7,11273
cudaMemsetAsync_v3020,1970-01-01 00:00:07.805193008,1970-01-01 00:00:07.805194448,4e-10,7,11289
kernel,1970-01-01 00:00:07.805385007,1970-01-01 00:00:07.805424527,1.0977777777777777e-08,7,11330
reduce_kernel,1970-01-01 00:00:07.805553743,1970-01-01 00:00:07.805555247,4.1777777777777775e-10,7,11358
vectorized_layer_norm_kernel,1970-01-01 00:00:07.805768494,1970-01-01 00:00:07.805772654,1.1555555555555556e-09,7,11414
kernel,1970-01-01 00:00:07.806032174,1970-01-01 00:00:07.806062062,8.302222222222222e-09,7,11469
CatArrayBatchedCopy,1970-01-01 00:00:07.806697004,1970-01-01 00:00:07.806700204,8.888888888888889e-10,7,11606
CatArrayBatchedCopy,1970-01-01 00:00:07.806769196,1970-01-01 00:00:07.806772300,8.622222222222222e-10,7,11623
fmha_cutlassF_f32_aligned_64x64_rf_sm75,1970-01-01 00:00:07.807204075,1970-01-01 00:00:07.807216011,3.315555555555556e-09,7,11725
kernel,1970-01-01 00:00:07.807572906,1970-01-01 00:00:07.807584426,3.2e-09,7,11811
reduce_kernel,1970-01-01 00:00:07.807745130,1970-01-01 00:00:07.807746634,4.1777777777777775e-10,7,11839
vectorized_layer_norm_kernel,1970-01-01 00:00:07.807922538,1970-01-01 00:00:07.807926762,1.1733333333333332e-09,7,11895
gemv2T,1970-01-01 00:00:07.808173513,1970-01-01 00:00:07.808211785,1.0631111111111112e-08,7,11950
elementwise_kernel,1970-01-01 00:00:07.808309225,1970-01-01 00:00:07.808310537,3.644444444444445e-10,7,11972
elementwise_kernel,1970-01-01 00:00:07.808426344,1970-01-01 00:00:07.808427720,3.8222222222222223e-10,7,12000
